pickup_datetime,passenger_count,trip_distance_mi,fare_amount,tip_amount,total_amount
2013-02-10T22:24,6,10.59,30.5,5.5,41.8
2013-02-05T19:30,1,7.88,24.5,0.0,26.0
2013-02-05T19:29,1,4.48,19.0,0.0,20.5
2013-02-05T19:41,6,6.56,19.5,3.0,24.0
2013-02-05T07:10,1,2.84,12.5,3.12,16.12
2013-02-05T19:04,1,1.55,8.0,0.0,9.5
2013-02-10T22:02,1,3.61,13.0,1.0,15.0
2013-02-05T19:27,5,3.35,13.0,3.5,18.0
2013-02-10T22:08,5,0.73,6.0,0.0,7.0
2013-02-08T09:55,2,1.87,10.0,2.0,12.5
2013-02-08T10:03,1,0.91,6.0,1.0,7.5
2013-02-10T21:53,1,0.5,18.5,3.8,23.3
2013-02-10T22:06,1,2.28,10.0,0.0,11.0
2013-02-10T22:13,1,1.05,5.5,1.0,7.5
2013-02-10T22:07,1,1.37,6.5,1.4,8.9
2013-02-10T22:13,2,1.51,6.5,1.4,8.9
2013-02-10T22:08,1,1.43,7.5,0.0,8.5
2013-02-08T09:58,5,0.66,6.0,1.5,8.0
2013-02-08T09:45,1,2.16,14.0,0.0,14.5
2013-02-10T22:07,1,2.17,9.5,2.0,12.5
2013-02-10T22:13,1,2.39,11.0,0.0,12.0
2013-02-10T22:18,1,1.91,8.5,1.8,11.3
2013-02-10T21:52,1,5.73,22.0,4.5,27.5
2013-02-10T22:06,6,2.31,9.0,2.38,12.38
2013-02-10T22:05,1,2.01,8.5,0.0,9.5
2013-02-08T09:56,1,0.98,7.5,0.0,8.0
2013-02-08T09:32,4,4.27,22.5,4.5,27.5
2013-02-10T22:08,1,1.29,6.5,1.88,9.38
2013-02-10T21:58,5,4.26,15.5,0.0,16.5
2013-02-10T22:13,1,0.59,4.5,0.0,5.5
2013-02-05T19:35,1,1.77,8.0,1.8,11.3
2013-02-10T22:04,1,2.11,8.0,0.0,9.0
2013-02-10T22:08,1,1.1,6.5,0.0,7.5
2013-02-08T09:54,6,1.67,10.0,0.0,10.5
2013-02-10T22:00,5,3.25,13.0,3.38,17.38
2013-02-10T22:07,6,1.7,8.5,1.0,10.5
2013-02-10T22:08,1,0.49,4.0,1.35,6.35
2013-02-10T22:09,5,1.24,6.0,1.62,8.62
2013-02-10T22:05,1,2.99,11.5,3.0,15.5
2013-02-10T21:49,1,17.12,52.0,0.0,57.3
2013-02-08T09:58,1,0.88,6.5,0.0,7.0
2013-02-05T19:32,1,2.28,9.5,0.0,11.0
2013-02-05T19:33,5,1.61,8.0,1.8,11.3
2013-02-08T09:56,1,2.1,10.0,2.0,12.5
2013-02-08T08:46,1,1.48,12.5,0.0,13.0
2013-02-08T08:56,1,1.21,8.0,1.5,10.0
2013-02-08T08:54,6,1.82,9.5,1.9,11.9
2013-02-10T21:03,1,15.73,52.0,10.4,67.7
2013-02-05T19:13,1,2.36,12.0,1.5,15.0
2013-02-05T19:21,6,1.16,6.5,0.0,8.0
2013-02-08T09:26,1,3.15,13.0,2.0,15.5
2013-02-05T19:20,1,1.21,7.5,1.7,10.7
2013-02-10T21:16,1,8.3,23.5,6.0,30.5
2013-02-08T09:38,1,0.62,4.5,0.0,5.0
2013-02-08T09:30,1,6.51,19.0,0.0,19.5
2013-02-08T09:04,1,17.89,53.5,0.0,70.25
2013-02-10T21:28,1,2.84,12.0,3.12,16.12
2013-02-05T18:48,6,22.04,61.5,6.0,73.8
2013-02-08T09:28,5,2.17,10.5,4.0,15.0
2013-02-08T09:31,1,1.31,9.0,1.0,10.5
2013-02-08T09:24,6,2.02,12.0,0.0,12.5
2013-02-10T21:11,5,13.2,36.0,9.12,50.92
2013-02-10T21:29,1,1.33,6.5,1.75,9.25
2013-02-10T21:27,1,2.32,9.0,0.0,10.0
2013-02-05T19:25,1,0.91,5.5,0.0,7.0
2013-02-08T09:27,3,1.6,11.0,3.3,14.8
2013-02-10T21:20,1,4.3,16.0,3.3,20.3
2013-02-08T10:08,1,2.7,13.0,2.6,16.1
2013-02-08T09:56,4,11.51,33.5,0.0,38.8
2013-02-05T19:41,4,1.71,8.0,0.0,9.5
2013-02-05T19:32,1,6.53,21.5,4.5,27.5
2013-02-05T19:22,1,2.0,8.5,0.0,10.0
2013-02-05T19:29,1,4.32,16.5,0.0,18.0
2013-02-05T19:39,5,2.82,10.5,2.3,14.3
2013-02-05T19:40,1,1.98,8.5,1.0,11.0
2013-02-05T19:25,1,3.69,17.5,3.7,22.7
2013-02-05T19:42,5,0.88,5.0,0.0,6.5
2013-02-10T22:23,1,0.55,5.0,0.0,6.0
2013-02-08T09:55,1,2.12,15.5,0.0,16.0
2013-02-08T09:59,1,12.39,35.5,7.1,47.9
2013-02-08T10:12,1,1.62,9.0,1.8,11.3
2013-02-10T22:21,1,2.84,11.0,2.88,14.88
2013-02-10T22:20,2,5.22,17.0,2.0,20.0
2013-02-10T22:29,1,0.82,5.5,0.0,6.5
2013-02-10T22:13,1,3.45,15.5,0.0,16.5
2013-02-10T22:22,1,2.19,11.0,0.0,12.0
2013-02-10T22:10,1,6.82,22.0,0.0,27.8
2013-02-10T22:23,6,3.17,11.5,2.4,14.9
2013-02-05T19:26,1,1.3,6.5,1.5,9.5
2013-02-05T19:12,5,2.73,11.5,2.5,15.5
2013-02-10T21:21,1,0.56,5.0,0.0,6.0
2013-02-08T09:09,1,2.57,16.5,0.0,17.0
2013-02-08T09:33,1,0.54,5.0,2.0,7.5
2013-02-05T19:15,5,1.33,8.0,2.25,11.75
2013-02-05T19:19,6,0.76,7.0,1.6,10.1
2013-02-05T19:18,3,0.78,7.0,2.12,10.62
2013-02-10T21:08,1,11.1,32.5,0.0,38.3
2013-02-05T19:02,1,2.95,17.0,2.0,20.5
2013-02-10T21:30,1,0.74,4.5,0.0,5.5
2013-02-05T19:13,1,2.52,12.5,0.0,14.0
2013-02-05T19:16,1,0.85,8.5,0.0,10.0
2013-02-05T19:16,1,2.07,9.5,0.0,11.0
2013-02-05T19:04,3,7.73,24.5,5.1,31.1
2013-02-10T21:09,6,5.8,21.0,4.0,26.0
2013-02-08T09:32,3,1.39,7.5,0.0,8.0
2013-02-08T09:32,1,0.76,6.0,0.0,6.5
2013-02-05T19:03,1,3.39,17.0,1.75,20.25
2013-02-05T19:20,1,1.58,7.0,2.0,10.5
2013-02-05T19:22,1,0.09,5.5,0.0,7.0
2013-02-05T19:23,2,0.79,5.0,0.0,6.5
2013-02-10T21:23,2,1.02,6.5,0.0,7.5
2013-02-05T19:19,1,2.23,8.5,0.0,10.0
2013-02-05T19:27,1,0.67,4.5,0.0,6.0
2013-02-08T09:41,1,0.6,4.0,0.5,5.0
2013-02-05T19:16,1,1.82,8.0,1.8,11.3
2013-02-05T19:18,1,2.42,10.0,2.2,13.7
2013-02-05T19:14,5,2.3,12.0,2.6,16.1
2013-02-08T09:30,1,1.48,7.0,0.0,7.5
2013-02-08T09:26,1,1.84,10.5,0.0,11.0
2013-02-05T19:17,3,1.79,8.0,1.8,11.3
2013-02-05T19:23,1,1.97,7.5,0.0,9.0
